year,month,day,season,site,recording,start_s,end_s,scientific_name,common_name,confidence,category,observed
2021,6,29,passerine,N_21,20210629_061600,12,15,Colaptes auratus,Northern Flicker,0.14354949,"(0.1,0.15]",Y
2021,6,26,passerine,N_22,20210626_051900,15,18,Colaptes auratus,Northern Flicker,0.13635865,"(0.1,0.15]",N
2021,6,27,passerine,14_06,20210627_052500,42,45,Colaptes auratus,Northern Flicker,0.14107919,"(0.1,0.15]",N
2021,6,19,passerine,14_33,20210619_065500,45,48,Colaptes auratus,Northern Flicker,0.14594206,"(0.1,0.15]",Y
2021,5,19,passerine,N_01,20210519_051000,36,39,Colaptes auratus,Northern Flicker,0.13602322,"(0.1,0.15]",Y
2021,5,22,passerine,N_19,20210522_042500,42,45,Colaptes auratus,Northern Flicker,0.14100096,"(0.1,0.15]",N
2021,7,7,passerine,N_22,20210707_053100,27,30,Colaptes auratus,Northern Flicker,0.14657608,"(0.1,0.15]",N
2021,5,20,passerine,14_10,20210520_062000,18,21,Colaptes auratus,Northern Flicker,0.11677802,"(0.1,0.15]",N
2021,6,17,passerine,14_28,20210617_065400,36,39,Colaptes auratus,Northern Flicker,0.10472943,"(0.1,0.15]",Y
2021,7,8,passerine,N_22,20210708_053200,42,45,Colaptes auratus,Northern Flicker,0.13189311,"(0.1,0.15]",Y
2021,5,23,passerine,N_14,20210523_052000,54,57,Colaptes auratus,Northern Flicker,0.1893599,"(0.15,0.2]",Y
2021,6,28,passerine,N_22,20210628_040400,30,33,Colaptes auratus,Northern Flicker,0.17637265,"(0.15,0.2]",N
2021,6,28,passerine,14_16,20210628_063000,42,45,Colaptes auratus,Northern Flicker,0.18809877,"(0.15,0.2]",Y
2021,5,22,passerine,14_19,20210522_040500,9,12,Colaptes auratus,Northern Flicker,0.15104339,"(0.15,0.2]",Y
2021,6,26,passerine,14_29,20210626_064500,6,9,Colaptes auratus,Northern Flicker,0.19501744,"(0.15,0.2]",N
2021,7,4,passerine,14_09,20210704_053000,42,45,Colaptes auratus,Northern Flicker,0.16177249,"(0.15,0.2]",Y
2021,6,28,passerine,N_22,20210628_040400,30,33,Colaptes auratus,Northern Flicker,0.17637265,"(0.15,0.2]",N
2021,5,22,passerine,14_14,20210522_063000,51,54,Colaptes auratus,Northern Flicker,0.15473056,"(0.15,0.2]",N
2021,5,22,passerine,14_14,20210522_063000,51,54,Colaptes auratus,Northern Flicker,0.15473056,"(0.15,0.2]",N
2021,6,28,passerine,N_22,20210628_040400,36,39,Colaptes auratus,Northern Flicker,0.1570114,"(0.15,0.2]",N
2021,7,3,passerine,N_21,20210703_050800,15,18,Colaptes auratus,Northern Flicker,0.20696014,"(0.2,0.25]",Y
2021,6,16,passerine,14_34,20210616_053000,24,27,Colaptes auratus,Northern Flicker,0.21257493,"(0.2,0.25]",N
2021,6,5,passerine,N_14,20210605_064000,18,21,Colaptes auratus,Northern Flicker,0.21276036,"(0.2,0.25]",Y
2021,7,5,passerine,N_22,20210705_055600,45,48,Colaptes auratus,Northern Flicker,0.23770526,"(0.2,0.25]",Y
2021,5,24,passerine,14_17,20210524_054300,39,42,Colaptes auratus,Northern Flicker,0.20289826,"(0.2,0.25]",Y
2021,7,5,passerine,14_16,20210705_063500,15,18,Colaptes auratus,Northern Flicker,0.2419667,"(0.2,0.25]",Y
2021,7,12,passerine,14_05,20210712_063000,51,54,Colaptes auratus,Northern Flicker,0.20901844,"(0.2,0.25]",Y
2021,5,20,passerine,14_10,20210520_062000,9,12,Colaptes auratus,Northern Flicker,0.20763323,"(0.2,0.25]",Y
2021,7,4,passerine,N_15,20210704_052000,21,24,Colaptes auratus,Northern Flicker,0.23940818,"(0.2,0.25]",Y
2021,7,4,passerine,N_15,20210704_064500,3,6,Colaptes auratus,Northern Flicker,0.23526408,"(0.2,0.25]",Y
2021,7,4,passerine,N_22,20210704_063400,18,21,Colaptes auratus,Northern Flicker,0.25291395,"(0.25,0.3]",Y
2021,6,23,passerine,14_06,20210623_053500,12,15,Colaptes auratus,Northern Flicker,0.25358027,"(0.25,0.3]",Y
2021,7,4,passerine,N_22,20210704_055900,45,48,Colaptes auratus,Northern Flicker,0.28056246,"(0.25,0.3]",Y
2021,7,6,passerine,14_37,20210706_061000,27,30,Colaptes auratus,Northern Flicker,0.29250973,"(0.25,0.3]",N
2021,7,6,passerine,14_37,20210706_061000,27,30,Colaptes auratus,Northern Flicker,0.29250973,"(0.25,0.3]",N
2021,7,6,passerine,14_37,20210706_061000,27,30,Colaptes auratus,Northern Flicker,0.29250973,"(0.25,0.3]",N
2021,7,4,passerine,N_22,20210704_055900,45,48,Colaptes auratus,Northern Flicker,0.28056246,"(0.25,0.3]",Y
2021,7,5,passerine,N_22,20210705_055600,27,30,Colaptes auratus,Northern Flicker,0.2709035,"(0.25,0.3]",Y
2021,7,13,passerine,14_40,20210713_065000,18,21,Colaptes auratus,Northern Flicker,0.28920743,"(0.25,0.3]",Y
2021,5,21,passerine,14_18,20210521_061100,39,42,Colaptes auratus,Northern Flicker,0.29405618,"(0.25,0.3]",N
2021,5,19,passerine,14_10,20210519_065500,51,54,Colaptes auratus,Northern Flicker,0.32220256,"(0.3,0.35]",Y
2021,7,6,passerine,14_16,20210706_055500,24,27,Colaptes auratus,Northern Flicker,0.3294336,"(0.3,0.35]",Y
2021,6,19,passerine,14_16,20210619_065500,15,18,Colaptes auratus,Northern Flicker,0.34461007,"(0.3,0.35]",Y
2021,5,20,passerine,14_10,20210520_062000,33,36,Colaptes auratus,Northern Flicker,0.30218887,"(0.3,0.35]",Y
2021,6,27,passerine,N_22,20210627_063000,6,9,Colaptes auratus,Northern Flicker,0.34711346,"(0.3,0.35]",Y
2021,6,28,passerine,14_25,20210628_054500,48,51,Colaptes auratus,Northern Flicker,0.3195923,"(0.3,0.35]",Y
2021,6,2,passerine,N_14,20210602_043000,42,45,Colaptes auratus,Northern Flicker,0.33659092,"(0.3,0.35]",Y
2021,6,27,passerine,N_22,20210627_063000,6,9,Colaptes auratus,Northern Flicker,0.34711346,"(0.3,0.35]",Y
2021,7,5,passerine,14_16,20210705_061000,45,48,Colaptes auratus,Northern Flicker,0.32506388,"(0.3,0.35]",Y
2021,5,20,passerine,14_10,20210520_051500,15,18,Colaptes auratus,Northern Flicker,0.33569494,"(0.3,0.35]",Y
2021,7,7,passerine,N_16,20210707_064000,18,21,Colaptes auratus,Northern Flicker,0.35442615,"(0.35,0.4]",Y
2021,5,23,passerine,14_25,20210523_055000,24,27,Colaptes auratus,Northern Flicker,0.3785421,"(0.35,0.4]",Y
2021,7,8,passerine,N_22,20210708_053300,12,15,Colaptes auratus,Northern Flicker,0.3572851,"(0.35,0.4]",Y
2021,7,8,passerine,N_22,20210708_053300,12,15,Colaptes auratus,Northern Flicker,0.3572851,"(0.35,0.4]",Y
2021,7,7,passerine,N_16,20210707_064000,18,21,Colaptes auratus,Northern Flicker,0.35442615,"(0.35,0.4]",Y
2021,7,7,passerine,N_16,20210707_064000,18,21,Colaptes auratus,Northern Flicker,0.35442615,"(0.35,0.4]",Y
2021,7,12,passerine,14_37,20210712_062000,51,54,Colaptes auratus,Northern Flicker,0.38333946,"(0.35,0.4]",Y
2021,7,3,passerine,N_21,20210703_050800,18,21,Colaptes auratus,Northern Flicker,0.36806434,"(0.35,0.4]",Y
2021,7,3,passerine,N_21,20210703_050800,18,21,Colaptes auratus,Northern Flicker,0.36806434,"(0.35,0.4]",Y
2021,5,23,passerine,14_25,20210523_055000,24,27,Colaptes auratus,Northern Flicker,0.3785421,"(0.35,0.4]",Y
2021,6,24,passerine,N_15,20210624_062000,21,24,Colaptes auratus,Northern Flicker,0.41766664,"(0.4,0.45]",Y
2021,7,2,passerine,14_09,20210702_051500,36,39,Colaptes auratus,Northern Flicker,0.40664768,"(0.4,0.45]",Y
2021,5,20,passerine,N_06,20210520_052000,51,54,Colaptes auratus,Northern Flicker,0.42610985,"(0.4,0.45]",Y
2021,6,20,passerine,14_41,20210620_065500,54,57,Colaptes auratus,Northern Flicker,0.40719375,"(0.4,0.45]",Y
2021,7,5,passerine,14_16,20210705_064000,12,15,Colaptes auratus,Northern Flicker,0.4453088,"(0.4,0.45]",Y
2021,5,26,passerine,14_09,20210526_055000,57,60,Colaptes auratus,Northern Flicker,0.4421639,"(0.4,0.45]",Y
2021,7,5,passerine,14_16,20210705_061000,48,51,Colaptes auratus,Northern Flicker,0.4217227,"(0.4,0.45]",Y
2021,7,2,passerine,14_09,20210702_051500,36,39,Colaptes auratus,Northern Flicker,0.40664768,"(0.4,0.45]",Y
2021,7,5,passerine,14_16,20210705_061000,48,51,Colaptes auratus,Northern Flicker,0.4217227,"(0.4,0.45]",Y
2021,6,24,passerine,N_15,20210624_062000,21,24,Colaptes auratus,Northern Flicker,0.41766664,"(0.4,0.45]",Y
2021,5,23,passerine,14_25,20210523_054500,3,6,Colaptes auratus,Northern Flicker,0.45434204,"(0.45,0.5]",Y
2021,7,2,passerine,14_16,20210702_062000,36,39,Colaptes auratus,Northern Flicker,0.48879158,"(0.45,0.5]",Y
2021,5,23,passerine,14_25,20210523_054500,3,6,Colaptes auratus,Northern Flicker,0.45434204,"(0.45,0.5]",Y
2021,5,19,passerine,N_01,20210519_061000,9,12,Colaptes auratus,Northern Flicker,0.4611875,"(0.45,0.5]",Y
2021,5,28,passerine,N_01,20210528_062500,48,51,Colaptes auratus,Northern Flicker,0.47743112,"(0.45,0.5]",Y
2021,5,19,passerine,N_01,20210519_061000,9,12,Colaptes auratus,Northern Flicker,0.4611875,"(0.45,0.5]",Y
2021,5,28,passerine,N_01,20210528_062500,48,51,Colaptes auratus,Northern Flicker,0.47743112,"(0.45,0.5]",Y
2021,5,23,passerine,14_25,20210523_054500,3,6,Colaptes auratus,Northern Flicker,0.45434204,"(0.45,0.5]",Y
2021,5,28,passerine,N_01,20210528_062500,48,51,Colaptes auratus,Northern Flicker,0.47743112,"(0.45,0.5]",Y
2021,5,28,passerine,N_01,20210528_062500,48,51,Colaptes auratus,Northern Flicker,0.47743112,"(0.45,0.5]",Y
2021,5,20,passerine,N_06,20210520_052000,57,60,Colaptes auratus,Northern Flicker,0.5073132,"(0.5,0.55]",Y
2021,6,23,passerine,N_14,20210623_061000,15,18,Colaptes auratus,Northern Flicker,0.5230653,"(0.5,0.55]",Y
2021,7,2,passerine,N_15,20210702_045000,30,33,Colaptes auratus,Northern Flicker,0.5063814,"(0.5,0.55]",Y
2021,7,7,passerine,N_16,20210707_064000,39,42,Colaptes auratus,Northern Flicker,0.53139913,"(0.5,0.55]",N
2021,5,20,passerine,N_06,20210520_052000,57,60,Colaptes auratus,Northern Flicker,0.5073132,"(0.5,0.55]",Y
2021,6,30,passerine,14_16,20210630_061000,3,6,Colaptes auratus,Northern Flicker,0.5328101,"(0.5,0.55]",Y
2021,7,7,passerine,N_16,20210707_064000,39,42,Colaptes auratus,Northern Flicker,0.53139913,"(0.5,0.55]",Y
2021,7,7,passerine,N_16,20210707_064000,39,42,Colaptes auratus,Northern Flicker,0.53139913,"(0.5,0.55]",Y
2021,7,2,passerine,N_15,20210702_045000,30,33,Colaptes auratus,Northern Flicker,0.5063814,"(0.5,0.55]",Y
2021,6,29,passerine,14_25,20210629_055000,48,51,Colaptes auratus,Northern Flicker,0.5326018,"(0.5,0.55]",Y
2021,7,4,passerine,14_16,20210704_065500,33,36,Colaptes auratus,Northern Flicker,0.5980788,"(0.55,0.6]",Y
2021,6,24,passerine,N_16,20210624_050000,39,42,Colaptes auratus,Northern Flicker,0.5805282,"(0.55,0.6]",Y
2021,5,20,passerine,14_10,20210520_062000,57,60,Colaptes auratus,Northern Flicker,0.5516617,"(0.55,0.6]",Y
2021,5,19,passerine,N_01,20210519_051500,15,18,Colaptes auratus,Northern Flicker,0.57404,"(0.55,0.6]",Y
2021,6,24,passerine,N_16,20210624_050000,39,42,Colaptes auratus,Northern Flicker,0.5805282,"(0.55,0.6]",Y
2021,5,19,passerine,N_01,20210519_051500,15,18,Colaptes auratus,Northern Flicker,0.57404,"(0.55,0.6]",Y
2021,5,20,passerine,14_10,20210520_062000,57,60,Colaptes auratus,Northern Flicker,0.5516617,"(0.55,0.6]",Y
2021,6,21,passerine,14_16,20210621_055000,3,6,Colaptes auratus,Northern Flicker,0.56422365,"(0.55,0.6]",Y
2021,6,23,passerine,14_40,20210623_060000,15,18,Colaptes auratus,Northern Flicker,0.5683852,"(0.55,0.6]",Y
2021,5,26,passerine,N_08,20210526_062500,6,9,Colaptes auratus,Northern Flicker,0.59798527,"(0.55,0.6]",Y
2021,5,23,passerine,14_25,20210523_055000,33,36,Colaptes auratus,Northern Flicker,0.6186551,"(0.6,0.65]",Y
2021,5,21,passerine,N_06,20210521_051500,3,6,Colaptes auratus,Northern Flicker,0.635727,"(0.6,0.65]",Y
2021,5,23,passerine,14_25,20210523_055000,57,60,Colaptes auratus,Northern Flicker,0.6123287,"(0.6,0.65]",Y
2021,6,3,passerine,N_14,20210603_063000,0,3,Colaptes auratus,Northern Flicker,0.61495245,"(0.6,0.65]",Y
2021,5,21,passerine,N_06,20210521_051500,3,6,Colaptes auratus,Northern Flicker,0.635727,"(0.6,0.65]",Y
2021,6,24,passerine,14_16,20210624_064500,36,39,Colaptes auratus,Northern Flicker,0.62599313,"(0.6,0.65]",Y
2021,5,23,passerine,14_25,20210523_055000,30,33,Colaptes auratus,Northern Flicker,0.6456274,"(0.6,0.65]",Y
2021,5,23,passerine,14_25,20210523_055000,57,60,Colaptes auratus,Northern Flicker,0.6123287,"(0.6,0.65]",Y
2021,6,3,passerine,N_14,20210603_063000,0,3,Colaptes auratus,Northern Flicker,0.61495245,"(0.6,0.65]",Y
2021,6,3,passerine,N_14,20210603_063000,0,3,Colaptes auratus,Northern Flicker,0.61495245,"(0.6,0.65]",Y
2021,5,23,passerine,14_25,20210523_055000,45,48,Colaptes auratus,Northern Flicker,0.6539761,"(0.65,0.7]",Y
2021,7,7,passerine,14_16,20210707_064500,3,6,Colaptes auratus,Northern Flicker,0.69804317,"(0.65,0.7]",Y
2021,7,13,passerine,14_10,20210713_055500,57,60,Colaptes auratus,Northern Flicker,0.6628079,"(0.65,0.7]",Y
2021,6,29,passerine,14_16,20210629_052500,18,21,Colaptes auratus,Northern Flicker,0.65523267,"(0.65,0.7]",Y
2021,7,7,passerine,14_16,20210707_064500,3,6,Colaptes auratus,Northern Flicker,0.69804317,"(0.65,0.7]",Y
2021,7,13,passerine,14_10,20210713_055500,57,60,Colaptes auratus,Northern Flicker,0.6628079,"(0.65,0.7]",Y
2021,7,7,passerine,14_16,20210707_064500,3,6,Colaptes auratus,Northern Flicker,0.69804317,"(0.65,0.7]",Y
2021,6,29,passerine,14_16,20210629_052500,18,21,Colaptes auratus,Northern Flicker,0.65523267,"(0.65,0.7]",Y
2021,6,29,passerine,14_16,20210629_052500,18,21,Colaptes auratus,Northern Flicker,0.65523267,"(0.65,0.7]",Y
2021,7,2,passerine,14_16,20210702_061500,57,60,Colaptes auratus,Northern Flicker,0.6741776,"(0.65,0.7]",Y
2021,7,12,passerine,14_05,20210712_063000,24,27,Colaptes auratus,Northern Flicker,0.7427244,"(0.7,0.75]",Y
2021,6,23,passerine,14_40,20210623_060000,18,21,Colaptes auratus,Northern Flicker,0.7262762,"(0.7,0.75]",Y
2021,6,24,passerine,N_15,20210624_053000,42,45,Colaptes auratus,Northern Flicker,0.7267935,"(0.7,0.75]",Y
2021,5,20,passerine,14_10,20210520_050000,15,18,Colaptes auratus,Northern Flicker,0.7265221,"(0.7,0.75]",Y
2021,5,21,passerine,N_06,20210521_051500,6,9,Colaptes auratus,Northern Flicker,0.7159573,"(0.7,0.75]",Y
2021,7,4,passerine,N_15,20210704_052000,18,21,Colaptes auratus,Northern Flicker,0.7049601,"(0.7,0.75]",Y
2021,5,21,passerine,N_06,20210521_051500,6,9,Colaptes auratus,Northern Flicker,0.7159573,"(0.7,0.75]",Y
2021,6,23,passerine,N_14,20210623_061000,12,15,Colaptes auratus,Northern Flicker,0.7467086,"(0.7,0.75]",Y
2021,5,21,passerine,N_06,20210521_051500,6,9,Colaptes auratus,Northern Flicker,0.7159573,"(0.7,0.75]",Y
2021,7,1,passerine,14_16,20210701_052000,51,54,Colaptes auratus,Northern Flicker,0.7467801,"(0.7,0.75]",Y
2021,7,5,passerine,14_16,20210705_064000,36,39,Colaptes auratus,Northern Flicker,0.7894596,"(0.75,0.8]",Y
2021,7,5,passerine,14_16,20210705_064000,36,39,Colaptes auratus,Northern Flicker,0.7894596,"(0.75,0.8]",Y
2021,7,7,passerine,N_16,20210707_064000,12,15,Colaptes auratus,Northern Flicker,0.7734032,"(0.75,0.8]",Y
2021,6,13,passerine,N_01,20210613_065500,21,24,Colaptes auratus,Northern Flicker,0.78504854,"(0.75,0.8]",Y
2021,5,23,passerine,14_25,20210523_055000,15,18,Colaptes auratus,Northern Flicker,0.787623,"(0.75,0.8]",Y
2021,6,13,passerine,N_01,20210613_065500,21,24,Colaptes auratus,Northern Flicker,0.78504854,"(0.75,0.8]",Y
2021,7,7,passerine,N_16,20210707_064000,12,15,Colaptes auratus,Northern Flicker,0.7734032,"(0.75,0.8]",Y
2021,7,12,passerine,14_05,20210712_063000,33,36,Colaptes auratus,Northern Flicker,0.7980156,"(0.75,0.8]",Y
2021,7,12,passerine,14_05,20210712_063000,54,57,Colaptes auratus,Northern Flicker,0.7674697,"(0.75,0.8]",Y
2021,7,3,passerine,N_15,20210703_045000,12,15,Colaptes auratus,Northern Flicker,0.76775587,"(0.75,0.8]",Y
2021,6,29,passerine,14_25,20210629_053000,42,45,Colaptes auratus,Northern Flicker,0.8085215,"(0.8,0.85]",Y
2021,6,23,passerine,14_16,20210623_053000,33,36,Colaptes auratus,Northern Flicker,0.8348512,"(0.8,0.85]",Y
2021,7,7,passerine,N_16,20210707_064000,24,27,Colaptes auratus,Northern Flicker,0.83512294,"(0.8,0.85]",Y
2021,7,12,passerine,14_05,20210712_063000,21,24,Colaptes auratus,Northern Flicker,0.8421384,"(0.8,0.85]",Y
2021,7,8,passerine,14_16,20210708_064500,3,6,Colaptes auratus,Northern Flicker,0.84175324,"(0.8,0.85]",Y
2021,6,29,passerine,14_25,20210629_053000,42,45,Colaptes auratus,Northern Flicker,0.8085215,"(0.8,0.85]",Y
2021,7,3,passerine,N_15,20210703_061000,15,18,Colaptes auratus,Northern Flicker,0.81899947,"(0.8,0.85]",Y
2021,5,20,passerine,14_10,20210520_051500,57,60,Colaptes auratus,Northern Flicker,0.8042354,"(0.8,0.85]",Y
2021,7,12,passerine,14_05,20210712_063000,27,30,Colaptes auratus,Northern Flicker,0.82389873,"(0.8,0.85]",Y
2021,6,29,passerine,14_25,20210629_053000,54,57,Colaptes auratus,Northern Flicker,0.8017837,"(0.8,0.85]",Y
2021,5,19,passerine,N_01,20210519_051500,39,42,Colaptes auratus,Northern Flicker,0.8726909,"(0.85,0.9]",Y
2021,7,3,passerine,N_15,20210703_061000,12,15,Colaptes auratus,Northern Flicker,0.8855619,"(0.85,0.9]",Y
2021,6,22,passerine,14_16,20210622_052500,57,60,Colaptes auratus,Northern Flicker,0.8533399,"(0.85,0.9]",Y
2021,5,19,passerine,14_10,20210519_065500,54,57,Colaptes auratus,Northern Flicker,0.8664253,"(0.85,0.9]",Y
2021,6,29,passerine,14_25,20210629_053000,9,12,Colaptes auratus,Northern Flicker,0.8561168,"(0.85,0.9]",Y
2021,7,3,passerine,N_15,20210703_065500,48,51,Colaptes auratus,Northern Flicker,0.89866865,"(0.85,0.9]",Y
2021,5,23,passerine,14_25,20210523_055000,39,42,Colaptes auratus,Northern Flicker,0.8622945,"(0.85,0.9]",Y
2021,6,29,passerine,14_25,20210629_053000,45,48,Colaptes auratus,Northern Flicker,0.853256,"(0.85,0.9]",Y
2021,5,23,passerine,14_25,20210523_055000,39,42,Colaptes auratus,Northern Flicker,0.8622945,"(0.85,0.9]",Y
2021,6,29,passerine,14_25,20210629_053000,45,48,Colaptes auratus,Northern Flicker,0.853256,"(0.85,0.9]",Y
2021,7,4,passerine,N_15,20210704_052000,45,48,Colaptes auratus,Northern Flicker,0.93281746,"(0.9,0.95]",Y
2021,6,28,passerine,N_14,20210628_065000,6,9,Colaptes auratus,Northern Flicker,0.91989154,"(0.9,0.95]",Y
2021,7,4,passerine,14_16,20210704_065500,36,39,Colaptes auratus,Northern Flicker,0.9055775,"(0.9,0.95]",Y
2021,6,29,passerine,14_25,20210629_053000,57,60,Colaptes auratus,Northern Flicker,0.9103058,"(0.9,0.95]",Y
2021,7,4,passerine,N_15,20210704_052000,45,48,Colaptes auratus,Northern Flicker,0.93281746,"(0.9,0.95]",Y
2021,6,29,passerine,14_25,20210629_053000,57,60,Colaptes auratus,Northern Flicker,0.9103058,"(0.9,0.95]",Y
2021,6,29,passerine,14_25,20210629_053000,57,60,Colaptes auratus,Northern Flicker,0.9103058,"(0.9,0.95]",Y
2021,7,4,passerine,14_16,20210704_065500,36,39,Colaptes auratus,Northern Flicker,0.9055775,"(0.9,0.95]",Y
2021,7,7,passerine,N_16,20210707_064000,6,9,Colaptes auratus,Northern Flicker,0.9274607,"(0.9,0.95]",Y
2021,7,7,passerine,N_16,20210707_064000,6,9,Colaptes auratus,Northern Flicker,0.9274607,"(0.9,0.95]",Y
2021,7,7,passerine,N_16,20210707_064000,9,12,Colaptes auratus,Northern Flicker,0.96832407,"(0.95,1]",Y
2021,7,3,passerine,N_15,20210703_065500,51,54,Colaptes auratus,Northern Flicker,0.9559443,"(0.95,1]",Y
2021,6,29,passerine,14_25,20210629_053000,0,3,Colaptes auratus,Northern Flicker,0.9756998,"(0.95,1]",Y
2021,6,28,passerine,N_14,20210628_065000,42,45,Colaptes auratus,Northern Flicker,0.9959096,"(0.95,1]",Y
2021,7,7,passerine,N_16,20210707_064000,54,57,Colaptes auratus,Northern Flicker,0.9608167,"(0.95,1]",Y
2021,7,3,passerine,N_15,20210703_065500,51,54,Colaptes auratus,Northern Flicker,0.9559443,"(0.95,1]",Y
2021,6,30,passerine,14_16,20210630_055000,6,9,Colaptes auratus,Northern Flicker,0.99656737,"(0.95,1]",Y
2021,7,7,passerine,N_16,20210707_064000,21,24,Colaptes auratus,Northern Flicker,0.9694616,"(0.95,1]",Y
2021,7,7,passerine,N_16,20210707_064000,9,12,Colaptes auratus,Northern Flicker,0.96832407,"(0.95,1]",Y
2021,7,1,passerine,14_16,20210701_063000,3,6,Colaptes auratus,Northern Flicker,0.99651366,"(0.95,1]",Y
